ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Austria,2020-04-01T00:00:00.000Z,10182,128,85318,14.13998831,47.59295768,Austria,奥地利,Autriche,Austria,Австрия,النمسا
Portugal,2020-04-01T00:00:00.000Z,7443,160,85319,-8.46736074,39.60269511,Portugal,葡萄牙,Portugal,Portugal,Португалия,البرتغال
Israel,2020-04-01T00:00:00.000Z,5129,21,85320,34.96598271,31.35805652,Israel,以色列,Israël,Israel,Израиль,إسرائيل
Norway,2020-04-01T00:00:00.000Z,4447,28,85321,14.07508911,64.44784887,Norway,挪威,Norvège,Noruega,Норвегия,النرويج
Sweden,2020-04-01T00:00:00.000Z,4435,180,85322,16.74115526,62.78774226,Sweden,瑞典,Suède,Suecia,Швеция,السويد
Czechia,2020-04-01T00:00:00.000Z,3308,31,85323,15.33833995,49.74303614,Czechia,捷克,Tchéquie,Chequia,Чехия,تشيكيا
Ireland,2020-04-01T00:00:00.000Z,3235,71,85324,-8.1515763,53.17708682,Ireland,爱尔兰,Irlande,Irlanda,Ирландия,آيرلندا
Denmark,2020-04-01T00:00:00.000Z,2860,90,85325,10.05082082,55.9623328,Denmark,丹麦,Danemark,Dinamarca,Дания,الدانمرك
Russian Federation,2020-04-01T00:00:00.000Z,2337,17,85326,96.68944215,61.9882456,Russian Federation,俄罗斯联邦,Fédération de Russie,Federación de Rusia,Российская Федерация,الاتحاد الروسي
Poland,2020-04-01T00:00:00.000Z,2311,33,85327,19.40092017,52.12472405,Poland,波兰,Pologne,Polonia,Польша,بولندا
Romania,2020-04-01T00:00:00.000Z,2245,69,85328,24.96990758,45.84360558,Romania,罗马尼亚,Roumanie,Rumania,Румыния,رومانيا
Luxembourg,2020-04-01T00:00:00.000Z,2178,23,85329,6.08754416,49.77096396,Luxembourg,卢森堡,Luxembourg,Luxemburgo,Люксембург,لكسمبرغ
Finland,2020-04-01T00:00:00.000Z,1384,17,85330,26.2588423,64.49433129,Finland,芬兰,Finlande,Finlandia,Финляндия,فنلندا
Greece,2020-04-01T00:00:00.000Z,1314,49,85331,22.9879848,39.04452874,Greece,希腊,Grèce,Grecia,Греция,اليونان
Iceland,2020-04-01T00:00:00.000Z,1135,2,85332,-18.6057026,64.99764998,Iceland,冰岛,Islande,Islandia,Исландия,آيسلندا
Serbia,2020-04-01T00:00:00.000Z,900,13,85333,20.81133086,44.03387222,Serbia,塞尔维亚,Serbie,Serbia,Сербия,صربيا
Croatia,2020-04-01T00:00:00.000Z,867,6,85334,16.40934249,45.04363696,Croatia,克罗地亚,Croatie,Croacia,Хорватия,كرواتيا
Slovenia,2020-04-01T00:00:00.000Z,814,13,85335,14.82707444,46.12355026,Slovenia,斯洛文尼亚,Slovénie,Eslovenia,Словения,سلوفينيا
Estonia,2020-04-01T00:00:00.000Z,745,4,85336,25.5257709,58.67400787,Estonia,爱沙尼亚,Estonie,Estonia,Эстония,إستونيا
Ukraine,2020-04-01T00:00:00.000Z,669,17,85337,31.38784552,49.01609429,Ukraine,乌克兰,Ukraine,Ucrania,Украина,أوكرانيا
Lithuania,2020-04-01T00:00:00.000Z,533,7,85338,23.89683075,55.33585013,Lithuania,立陶宛,Lituanie,Lituania,Литва,ليتوانيا
Armenia,2020-04-01T00:00:00.000Z,532,3,85339,44.94793424,40.28641688,Armenia,亚美尼亚,Arménie,Armenia,Армения,أرمينيا
Hungary,2020-04-01T00:00:00.000Z,492,16,85340,19.41342813,47.16647906,Hungary,匈牙利,Hongrie,Hungría,Венгрия,هنغاريا
Bosnia and Herzegovina,2020-04-01T00:00:00.000Z,413,12,85341,17.78861095,44.16643966,Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,Bosnie-Herzégovine,Bosnia y Herzegovina,Босния и Герцеговина,البوسنة والهرسك
Bulgaria,2020-04-01T00:00:00.000Z,399,8,85342,25.23475756,42.76032141,Bulgaria,保加利亚,Bulgarie,Bulgaria,Болгария,بلغاريا
Latvia,2020-04-01T00:00:00.000Z,398,0,85343,24.92915332,56.85766939,Latvia,拉脱维亚,Lettonie,Letonia,Латвия,لاتفيا
Andorra,2020-04-01T00:00:00.000Z,376,12,85344,1.57568833,42.54858297,Andorra,安道尔,Andorre,Andorra,Андорра,أندورا
Slovakia,2020-04-01T00:00:00.000Z,363,0,85345,19.49145028,48.7073588,Slovakia,斯洛伐克,Slovaquie,Eslovaquia,Словакия,سلوفاكيا
