"","Country.Region","WHO.region","Dates","Cases","Date","Type","Date_Flag","lockdown","CENTER_LON","CENTER_LAT"
"2471","Colombia","Region of the Americas",2020-02-18,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2472","Colombia","Region of the Americas",2020-02-19,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2473","Colombia","Region of the Americas",2020-02-20,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2474","Colombia","Region of the Americas",2020-02-21,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2475","Colombia","Region of the Americas",2020-02-22,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2476","Colombia","Region of the Americas",2020-02-23,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2477","Colombia","Region of the Americas",2020-02-24,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2478","Colombia","Region of the Americas",2020-02-25,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2479","Colombia","Region of the Americas",2020-02-26,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2480","Colombia","Region of the Americas",2020-02-27,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2481","Colombia","Region of the Americas",2020-02-28,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2482","Colombia","Region of the Americas",2020-02-29,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2483","Colombia","Region of the Americas",2020-03-01,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2484","Colombia","Region of the Americas",2020-03-02,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2485","Colombia","Region of the Americas",2020-03-03,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2486","Colombia","Region of the Americas",2020-03-04,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2487","Colombia","Region of the Americas",2020-03-05,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2488","Colombia","Region of the Americas",2020-03-06,0,2020-03-25,1,0,1,-73.07576335,3.90037401
"2489","Colombia","Region of the Americas",2020-03-07,1,2020-03-25,1,0,1,-73.07576335,3.90037401
"2490","Colombia","Region of the Americas",2020-03-08,1,2020-03-25,1,0,1,-73.07576335,3.90037401
"2491","Colombia","Region of the Americas",2020-03-09,1,2020-03-25,1,0,1,-73.07576335,3.90037401
"2492","Colombia","Region of the Americas",2020-03-10,3,2020-03-25,1,0,1,-73.07576335,3.90037401
"2493","Colombia","Region of the Americas",2020-03-11,3,2020-03-25,1,0,1,-73.07576335,3.90037401
"2494","Colombia","Region of the Americas",2020-03-12,9,2020-03-25,1,0,1,-73.07576335,3.90037401
"2495","Colombia","Region of the Americas",2020-03-13,9,2020-03-25,1,0,1,-73.07576335,3.90037401
"2496","Colombia","Region of the Americas",2020-03-14,16,2020-03-25,1,0,1,-73.07576335,3.90037401
"2497","Colombia","Region of the Americas",2020-03-15,24,2020-03-25,1,0,1,-73.07576335,3.90037401
"2498","Colombia","Region of the Americas",2020-03-16,24,2020-03-25,1,0,1,-73.07576335,3.90037401
